timestamp,cpu_power,memory_power,nic_power,tdp_power
1720976237.669249,0,0,0,0
1720976238.674526,0,0,0,0
1720976239.679793,0,0,0,0
1720976240.685051,0,0,0,0
1720976241.690023,0,0,0,0
1720976242.6930041,0,0,0,0
1720976243.698348,0,0,0,0
1720976244.7009878,0,0,0,0
1720976245.701341,0,0,0,0
1720976246.7054138,0,0,0,0
1720976247.7107751,0,0,0,0
1720976248.716049,0,0,0,0
1720976249.7180119,0,0,0,0
1720976250.723171,0,0,0,0
1720976251.72712,0,0,0,0
1720976252.7323892,0,0,0,0
1720976253.737445,0,0,0,0
1720976254.741577,0,0,0,0
1720976255.744575,0,0,0,0
1720976256.749821,0,0,0,0
1720976257.755074,0,0,0,0
1720976258.7603252,0,0,0,0
1720976259.765577,0,0,0,0
1720976260.770834,0,0,0,0
1720976261.776041,0,0,0,0
1720976262.781143,0,0,0,0
1720976263.786397,0,0,0,0
1720976264.791625,0,0,0,0
1720976265.796896,0,0,0,0
1720976266.7972429,0,0,0,0
1720976267.7985,0,0,0,0
1720976268.80272,0,0,0,0
1720976269.8079512,0,0,0,0
1720976270.8131788,0,0,0,0
1720976271.815239,0,0,0,0
1720976272.818729,0,0,0,0
1720976273.820112,0,0,0,0
1720976274.8248692,0,0,0,0
1720976275.829549,0,0,0,0
1720976276.830786,0,0,0,0
1720976277.832057,0,0,0,0
1720976278.837166,0,0,0,0
1720976279.8424299,0,0,0,0
1720976280.8477051,0,0,0,0
1720976281.850283,0,0,0,0
1720976282.855624,0,0,0,0
1720976283.859961,0,0,0,0
1720976284.865228,0,0,0,0
1720976285.870516,0,0,0,0
1720976286.875214,0,0,0,0
1720976287.8805382,0,0,0,0
1720976288.881611,0,0,0,0
1720976289.886922,0,0,0,0
1720976290.8921988,0,0,0,0
1720976291.897484,0,0,0,0
1720976292.9017441,0,0,0,0
1720976293.907016,0,0,0,0
1720976294.912111,0,0,0,0
1720976295.917355,0,0,0,0
1720976296.9226508,0,0,0,0
